電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
WTA00069,大湖里,臺北市內湖區大湖山莊街219巷52號,"25.0897,121.599975",2,866.0,內湖分局,
WTA00071,大湖里,臺北市內湖區大湖山莊街219巷8號,"25.088512,121.59945",1,304.0,內湖分局,
WTA00076,大湖里,臺北市內湖區大湖山莊街219巷10號,"25.088598,121.59945",1,1425.0,內湖分局,
WTA00077,大湖里,臺北市內湖區大湖山莊街219巷12號,"25.088632,121.599463",1,258.0,內湖分局,
WTA00078,大湖里,臺北市內湖區大湖山莊街219巷36號,"25.089285,121.599699",1,193.0,內湖分局,
WTA02342,大湖里,臺北市內湖區大湖山莊街176巷18號,"25.087764,121.599116",3,1661.0,內湖分局,
WTA00012,大湖里,臺北市內湖區大湖山莊街179號,"25.088298,121.601057",1,170.0,內湖分局,
WTA00013,大湖里,臺北市內湖區大湖山莊街183號,"25.088349,121.600924",1,241.0,內湖分局,
WTA00015,大湖里,臺北市內湖區大湖山莊街193號,"25.088362,121.600601",1,1044.0,內湖分局,
WTA00017,大湖里,臺北市內湖區大湖山莊街211號,"25.088332,121.600108",1,397.0,內湖分局,
WTA00018,大湖里,臺北市內湖區大湖山莊街215號,"25.088419,121.599988",1,233.0,內湖分局,
WTA00030,大湖里,臺北市內湖區大湖山莊街177巷43弄17號,"25.088182,121.602166",1,444.0,內湖分局,
WTA00031,大湖里,臺北市內湖區大湖山莊街177巷9號,"25.088172,121.601939",2,152.0,內湖分局,
WTA00068,大湖里,臺北市內湖區大湖山莊街219巷5號,"25.088394,121.599538",1,108.0,內湖分局,
WTA00070,大湖里,臺北市內湖區大湖山莊街219巷7號,"25.088466,121.599625",1,772.0,內湖分局,
WTA00072,大湖里,臺北市內湖區大湖山莊街219巷33號,"25.089348,121.599986",1,170.0,內湖分局,
WTA00073,大湖里,臺北市內湖區大湖山莊街219巷35號,"25.089424,121.600064",1,264.0,內湖分局,
WTA00074,大湖里,臺北市內湖區大湖山莊街219巷39號,"25.089566,121.600133",1,228.0,內湖分局,
WTA00075,大湖里,臺北市內湖區大湖山莊街219巷53號,"25.089918,121.60032",1,153.0,內湖分局,
WTA00079,大湖里,臺北市內湖區大湖山莊街219巷31弄1號,"25.088974,121.600091",1,400.0,內湖分局,
WTA00080,大湖里,臺北市內湖區大湖山莊街219巷31弄35號,"25.088743,121.600785",2,836.0,內湖分局,
WTA00081,大湖里,臺北市內湖區大湖山莊街219巷31弄6號,"25.089226,121.599948",1,162.0,內湖分局,
WTA00006,大湖里,臺北市內湖區大湖山莊街206號,"25.088242,121.598536",2,2564.0,內湖分局,
WTA00007,大湖里,臺北市內湖區大湖山莊街153號,"25.087019,121.601553",1,241.0,內湖分局,
WTA00010,大湖里,臺北市內湖區大湖山莊街159號,"25.087215,121.601532",1,150.0,內湖分局,
WTA00011,大湖里,臺北市內湖區大湖山莊街161號,"25.087319,121.60153",1,253.0,內湖分局,
WTA00014,大湖里,臺北市內湖區大湖山莊街150號,"25.086288,121.601485",1,1129.0,內湖分局,
WTA00016,大湖里,臺北市內湖區大湖山莊街178號,"25.08788,121.5992",2,1945.0,內湖分局,
