編號,里別,地址,避難所在之地下樓層數,可容納人數,轄區分局,經度,緯度
1.0,三民里,臺中市西區三民里01鄰三民路一段194號,1.0,410.0,第一分局,120.676606,24.139286
2.0,三民里,臺中市西區三民里02鄰三民路一段178號,1.0,227.0,第一分局,120.675788,24.138262
3.0,三民里,臺中市西區三民里02鄰四維街38號,1.0,454.0,第一分局,120.675334,24.137899
4.0,三民里,臺中市西區三民里03鄰三民路一段171號,1.0,1142.0,第一分局,120.67366,24.137805
5.0,三民里,臺中市西區三民里03鄰三民路一段171號,1.0,212.0,第一分局,120.67366,24.137805
6.0,三民里,臺中市西區三民里03鄰三民路一段171號,1.0,218.0,第一分局,120.67366,24.137805
7.0,三民里,臺中市西區三民里03鄰四維街42號,1.0,367.0,第一分局,120.674837,24.138397
8.0,三民里,臺中市西區三民里03鄰四維街46號,1.0,173.0,第一分局,120.674741,24.138445
9.0,三民里,臺中市西區三民里03鄰四維街48號,1.0,84.0,第一分局,120.674666,24.138525
10.0,三民里,臺中市西區三民里04鄰林森路30號,1.0,644.0,第一分局,120.673396,24.135653
11.0,三民里,臺中市西區三民里05鄰三民路一段159號,1.0,207.0,第一分局,120.672818,24.13621
12.0,三民里,臺中市西區三民里05鄰三民路一段161號,1.0,1292.0,第一分局,120.673006,24.13643879
13.0,三民里,臺中市西區三民里05鄰林森路36號,1.0,165.0,第一分局,120.672543,24.136334
14.0,三民里,臺中市西區三民里06鄰三民路一段149號,1.0,263.0,第一分局,120.672184,24.135597
15.0,三民里,臺中市西區三民里08鄰公館路46巷1號,1.0,106.0,第一分局,120.671941,24.133175
16.0,三民里,臺中市西區三民里08鄰林森路69巷9號,1.0,120.0,第一分局,120.671937,24.135797
17.0,三民里,臺中市西區三民里08鄰朝陽街2號,1.0,681.0,第一分局,120.671032,24.134791
18.0,三民里,臺中市西區三民里09鄰公館路130號,1.0,98.0,第一分局,120.669931,24.134395
19.0,三民里,臺中市西區三民里09鄰公館路66號,1.0,104.0,第一分局,120.67161,24.13293
