類別,檔案卡電腦編號,里別,防空疏散避難設施地址,地下層數位址,可容納人數
公寓,WVA00073,仁勇里,臺北市士林區大北路116號,1,25.0
公寓,WVA00081,仁勇里,臺北市士林區大北路62號,1,42.0
公寓,WVA00083,仁勇里,臺北市士林區大北路64號,1,220.0
公寓,WVA00086,仁勇里,臺北市士林區大北路74號,1,170.0
公寓,WVA00087,仁勇里,臺北市士林區大北路80號,1,53.0
公寓,WVA00089,仁勇里,臺北市士林區大北路90號,1,57.0
公寓,WVA00092,仁勇里,臺北市士林區大西路62號,1,188.0
公寓,WVA00093,仁勇里,臺北市士林區大西路64號,1,449.0
公寓,WVA00094,仁勇里,臺北市士林區大西路70-1號,1,44.0
公寓,WVA00150,仁勇里,臺北市士林區小北街41號,1,100.0
公寓,WVA00161,仁勇里,臺北市士林區小西街76-3號,1,113.0
大樓,WVA02918,仁勇里,臺北市士林區大西路71號,2,1201.0
公寓,WVA00098,仁勇里,臺北市士林區大東路127號,1,28.0
公寓,WVA00099,仁勇里,臺北市士林區大東路128號,1,200.0
公寓,WVA00100,仁勇里,臺北市士林區大東路129號,1,96.0
公寓,WVA00102,仁勇里,臺北市士林區大東路133號,1,89.0
公寓,WVA00103,仁勇里,臺北市士林區大東路140號,1,41.0
公寓,WVA00104,仁勇里,臺北市士林區大東路142號,3,57.0
公寓,WVA00105,仁勇里,臺北市士林區大東路144號,1,73.0
公寓,WVA00122,仁勇里,臺北市士林區大東路83號,2,141.0
公寓,WVA00123,仁勇里,臺北市士林區大東路88巷3號,1,24.0
公寓,WVA01290,仁勇里,臺北市士林區文林路66號,1,262.0
公寓,WVA01294,仁勇里,臺北市士林區文林路255巷13號,1,74.0
大樓,WVA03296,仁勇里,臺北市士林區小北街28號,1,417.0
公寓,WVA00107,仁勇里,臺北市士林區大東路16-10號,1,30.0
公寓,WVA00113,仁勇里,臺北市士林區大東路22號,1,125.0
公寓,WVA00169,仁勇里,臺北市士林區小南街14號,1,80.0
公寓,WVA00170,仁勇里,臺北市士林區小南街20號,1,40.0
公寓,WVA00171,仁勇里,臺北市士林區小南街27號,1,32.0
公寓,WVA00172,仁勇里,臺北市士林區小南街32號,1,117.0
公寓,WVA01258,仁勇里,臺北市士林區文林路102號,5,1248.0
公寓,WVA01259,仁勇里,臺北市士林區文林路112號,1,188.0
公寓,WVA01260,仁勇里,臺北市士林區文林路132號,1,62.0
公寓,WVA01261,仁勇里,臺北市士林區文林路146號,1,112.0
公寓,WVA01267,仁勇里,臺北市士林區文林路170號,1,40.0
公寓,WVA01274,仁勇里,臺北市士林區文林路283號,1,664.0
公寓,WVA01275,仁勇里,臺北市士林區文林路291號,1,753.0
公寓,WVA01375,仁勇里,臺北市士林區安平街5巷3號,1,65.0
公寓,WVA02830,仁勇里,臺北市士林區文林路144巷10號,1,66.0
公寓,WVA00069,仁勇里,臺北市士林區大北路10號,1,98.0
公寓,WVA00074,仁勇里,臺北市士林區大北路12號,1,106.0
公寓,WVA00075,仁勇里,臺北市士林區大北路14號,1,73.0
公寓,WVA00076,仁勇里,臺北市士林區大北路20號,1,121.0
公寓,WVA00077,仁勇里,臺北市士林區大北路28號,1,34.0
公寓,WVA00078,仁勇里,臺北市士林區大北路32號,1,133.0
公寓,WVA00080,仁勇里,臺北市士林區大北路48號,1,54.0
公寓,WVA00088,仁勇里,臺北市士林區大北路9號,1,84.0
公寓,WVA00115,仁勇里,臺北市士林區大東路40號,1,92.0
公寓,WVA00117,仁勇里,臺北市士林區大東路44號,1,74.0
公寓,WVA00118,仁勇里,臺北市士林區大東路46號,1,58.0
公寓,WVA00119,仁勇里,臺北市士林區大東路48號,1,78.0
公寓,WVA00120,仁勇里,臺北市士林區大東路76號,1,129.0
公寓,WVA00121,仁勇里,臺北市士林區大東路78號,1,94.0
