檔案卡電腦編號,里別,防空疏散避難設施地址,地下層數位址,可容納人數,轄管分局,備註
WOA00659,建國里,臺北市中正區衡陽路36號,3,960.0,中正第一分局,
WOA00660,建國里,臺北市中正區衡陽路50號,1,244.0,中正第一分局,
WOA01250,建國里,臺北市中正區寶慶路37號,1,130.0,中正第一分局,
WOA00864,建國里,臺北市中正區寶慶路35號,1,432.0,中正第一分局,
WOA00865,建國里,臺北市中正區寶慶路37號,2,965.0,中正第一分局,
WOA01253,建國里,臺北市中正區寶慶路25-1號,1,1000.0,中正第一分局,
WOA01367,建國里,臺北市中正區愛國西路15號,1,677.0,中正第一分局,
WOA01440,建國里,臺北市中正區中華路一段93號,1,650.0,中正第一分局,
WOA01247,建國里,臺北市中正區延平南路126號,1,1624.0,中正第一分局,
WOA01242,建國里,臺北市中正區中華路一段59號,2,1362.0,中正第一分局,
WOA01376,建國里,臺北市中正區中華路一段95巷2號,1,130.0,中正第一分局,
WOA01255,建國里,臺北市中正區桃源街5-13號,1,365.0,中正第一分局,
WOA01256,建國里,臺北市中正區桃源街1號,1,288.0,中正第一分局,
WOA00479,建國里,臺北市中正區桃源街16號,1,288.0,中正第一分局,
WOA00661,建國里,臺北市中正區衡陽路52號,1,360.0,中正第一分局,
WOA00658,建國里,臺北市中正區衡陽路25號,1,429.0,中正第一分局,
WOA01462,建國里,臺北市中正區衡陽路26號,1,484.0,中正第一分局,
WOA01471,建國里,臺北市中正區中華路一段57號,1,1192.0,中正第一分局,
WOA01481,建國里,臺北市中正區延平南路150號,1,1636.0,中正第一分局,
WOA01310,建國里,臺北市中正區中華路一段77號,1,900.0,中正第一分局,
WOA01245,建國里,臺北市中正區愛國西路9號,1,1822.0,中正第一分局,
WOA00139,建國里,臺北市中正區延平南路127號,1,965.0,中正第一分局,
WOA01279,建國里,臺北市中正區貴陽街一段56號,2,2502.0,中正第一分局,
WOA01302,建國里,臺北市中正區延平南路129巷,1,4406.0,中正第一分局,
WOA00545,建國里,臺北市中正區貴陽街一段58號,1,770.0,中正第一分局,
WOA00019,黎明里,臺北市中正區公中山南路2巷5號,1,393.0,中正第一分局,
WOA00098,黎明里,臺北市中正區公園路15-3號,1,173.0,中正第一分局,
WOA00099,黎明里,臺北市中正區公園路15-3號,2,1353.0,中正第一分局,
WOA00167,黎明里,臺北市中正區忠孝西路一段6號,3,2309.0,中正第一分局,
WOA00377,黎明里,臺北市中正區青島西路11號,2,1088.0,中正第一分局,
WOA00486,黎明里,臺北市中正區常德街1號,1,1653.0,中正第一分局,
WOA00487,黎明里,臺北市中正區常德街1號,2,1017.0,中正第一分局,
WOA00489,黎明里,臺北市中正區常德街1號,3,676.0,中正第一分局,
WOA00956,黎明里,臺北市中正區青島西路7號,1,100.0,中正第一分局,
WOA00957,黎明里,臺北市中正區忠孝西路一段4號,1,2841.0,中正第一分局,
WOA00958,黎明里,臺北市中正區公園路13號,1,100.0,中正第一分局,
WOA01175,黎明里,臺北市中正區公園路15-1號,1,558.0,中正第一分局,
WOA01287,黎明里,臺北市中正區忠孝西路一段8號,3,920.0,中正第一分局,
WOA01299,黎明里,臺北市中正區青島西路10號,1,3050.0,中正第一分局,
WOA01388,黎明里,臺北市中正區中山南路8號,1,6546.0,中正第一分局,
WOA00488,黎明里,臺北市中正區常德街1號,1,1478.0,中正第一分局,
WOA00103,黎明里,臺北市中正區公園路30號,1,1141.0,中正第一分局,
WOA00104,黎明里,臺北市中正區公園路30-1號,1,560.0,中正第一分局,
WOA00105,黎明里,臺北市中正區公園路32號,1,148.0,中正第一分局,
WOA00106,黎明里,臺北市中正區公園路32號,2,260.0,中正第一分局,
WOA00420,黎明里,臺北市中正區南陽街21-1號,1,190.0,中正第一分局,
WOA01173,黎明里,臺北市中正區襄陽路1號,1,1726.0,中正第一分局,
WOA01174,黎明里,臺北市中正區南陽街21號,1,208.0,中正第一分局,
WOA01419,黎明里,臺北市中正區襄陽路3號,1,253.0,中正第一分局,
WOA00170,黎明里,臺北市中正區忠孝西路一段29巷2號,1,217.0,中正第一分局,
WOA00171,黎明里,臺北市中正區忠孝西路一段29巷1弄1號,1,70.0,中正第一分局,
WOA00100,黎明里,臺北市中正區公園路26號,1,172.0,中正第一分局,
WOA00116,黎明里,臺北市中正區公園路20巷12號,1,272.0,中正第一分局,
WOA00117,黎明里,臺北市中正區公園路20巷9號,1,50.0,中正第一分局,
WOA00162,黎明里,臺北市中正區忠孝西路一段36號,2,4382.0,中正第一分局,
WOA00163,黎明里,臺北市中正區忠孝西路一段36號,3,4382.0,中正第一分局,
WOA00389,黎明里,臺北市中正區信陽街5號,1,422.0,中正第一分局,
WOA00390,黎明里,臺北市中正區信陽街9號,1,300.0,中正第一分局,
WOA00508,黎明里,臺北市中正區許昌街26號,1,510.0,中正第一分局,
WOA00507,黎明里,臺北市中正區許昌街19號,1,1042.0,中正第一分局,
WOA00943,黎明里,臺北市中正區公園路28號,2,50.0,中正第一分局,
WOA00944,黎明里,臺北市中正區公園路20巷3號,1,100.0,中正第一分局,
WOA00945,黎明里,臺北市中正區南陽街13號,1,500.0,中正第一分局,
WOA00946,黎明里,臺北市中正區南陽街3號,1,500.0,中正第一分局,
WOA00947,黎明里,臺北市中正區許昌街24號,1,150.0,中正第一分局,
WOA00948,黎明里,臺北市中正區許昌街22號,1,150.0,中正第一分局,
WOA00949,黎明里,臺北市中正區公園路28號,1,50.0,中正第一分局,
WOA00950,黎明里,臺北市中正區公園路28巷9號,1,50.0,中正第一分局,
WOA00951,黎明里,臺北市中正區公園路20巷17號,1,30.0,中正第一分局,
WOA00952,黎明里,臺北市中正區公園路20巷19號,1,30.0,中正第一分局,
WOA00953,黎明里,臺北市中正區公園路20巷14號,1,80.0,中正第一分局,
WOA00168,黎明里,臺北市中正區忠孝西路一段66號,5,30.0,中正第一分局,
WOA00422,黎明里,臺北市中正區南陽街8號,2,100.0,中正第一分局,
WOA00509,黎明里,臺北市中正區許昌街40號,1,5260.0,中正第一分局,
WOA00671,黎明里,臺北市中正區館前路43號,3,100.0,中正第一分局,
WOA00961,黎明里,臺北市中正區忠孝西路一段38號,1,300.0,中正第一分局,
WOA00168,黎明里,臺北市中正區忠孝西路一段66號,5,6261.0,中正第一分局,
WOA00422,黎明里,臺北市中正區南陽街8號,2,350.0,中正第一分局,
WOA00509,黎明里,臺北市中正區許昌街40號,1,353.0,中正第一分局,
