類別,電腦編號,里別,地址,地下樓層數,可容納人數,備註
新營醫院,OMA00001,民權里,臺南市新營區民權里14鄰信義街73號,1.0,127人,"23.310099,120.313441"
新營文化中心,OMA00003,民權里,臺南市新營區民權里5鄰中正路23號,1.0,1682人,"23.308579,120.315842"
國泰大樓,OMA00004,民權里,臺南市新營區民權里4鄰中正路7號,1.0,633人,"23.30629,120.315828"
新營醫院,OMA00006,民權里,臺南市新營區民權里14鄰信義街74號,1.0,240人,"23.310099,120.313441"
新營醫院,OMA00007,民權里,臺南市新營區民權里14鄰信義街75號,1.0,1045人,"23.310099,120.313441"
市府公宅輔建互助會,OMA00010,民權里,臺南市新營區民權里17鄰民治路53巷11號,1.0,4187人,"23.30908,120.312276"
中正世家大樓,OMA00011,忠政里,臺南市新營區忠政里10鄰中正路53之2號,1.0,544人,"23.316407,120.316227"
日新大樓,OMA00012,永平里,臺南市新營區永平里15鄰復興路85號,1.0,1032人,"23.303265,120.311301"
一般住宅,OMA00013,南興里,臺南市新營區南興里1鄰延平路140巷8號,1.0,427人,"23.298069,120.312513"
我家別墅大樓,OMA00014,民榮里,臺南市新營區民榮里12鄰興農街38號,1.0,1389人,"23.30224,120.308352"
名悅賓館,OMA00016,民生里,臺南市新營區民生里6鄰民生路20號,1.0,137人,"23.304738,120.309582"
君館商務旅館,OMA00017,三仙里,臺南市新營區三仙里11鄰民權路25之3號,1.0,80人,"23.30447,120.312876"
小雅望族,OMA00018,民權里,臺南市新營區民權里11鄰信義街53巷3之4號,1.0,93人,"23.305519,120.314424"
新民國小,OMA00023,民生里,臺南市新營區民生里18鄰公園路一段136號,1.0,204人,"23.30545,120.306223"
一客發建設公司,OMA00025,三仙里,臺南市新營區三仙里4鄰三興街52號,1.0,501人,"23.310922,120.310188"
妙法寺,OMA00026,民榮里,臺南市新營區民榮里14鄰復興路161巷42號,1.0,553人,"23.30188,120.305722"
世洋飯店,OMA00027,民榮里,臺南市新營區民榮里18鄰新進路二段316號,1.0,1043人,"23.300909,120.303624"
金山御花園,OMA00028,民榮里,臺南市新營區民榮里20鄰裕民路16巷2之4號,1.0,127人,"23.302253,120.306805"
萬代江山大樓,OMA00029,民榮里,臺南市新營區民榮里3鄰新進路二段502之2號,1.0,267人,"23.303477,120.302772"
一般住宅,OMA00030,忠政里,臺南市新營區忠政里3鄰府西路17巷11號,1.0,769人,"23.311194,120.313477"
健康世家大樓,OMA00031,三仙里,臺南市新營區三仙里7鄰健康路109號,1.0,333人,"23.313649,120.312062"
臺南市政府民治行政中心,OMA00032,忠政里,臺南市新營區忠政里2鄰民治路36號,1.0,1256人,"23.311717,120.314023"
國民黨臺南市黨部新營區民眾服務社,OMA00033,忠政里,臺南市新營區忠政里1鄰民治路34號,1.0,489人,"23.31099,120.316232"
前臺南縣議會,OMA00034,忠政里,臺南市新營區忠政里2鄰民治路38號,1.0,440人,"23.31101,120.315642"
前臺南縣議會,OMA00035,忠政里,臺南市新營區忠政里2鄰民治路38號,1.0,204人,"23.31101,120.315642"
臺南市稅捐稽徵處,OMA00036,忠政里,臺南市新營區忠政里2鄰民治路36號,1.0,669人,"23.311717,120.314023"
臺南市稅捐稽徵處,OMA00037,忠政里,臺南市新營區忠政里2鄰民治路36號,1.0,131人,"23.311717,120.314023"
臺南市政府民治市政中心,OMA00038,忠政里,臺南市新營區忠政里2鄰民治路36號,1.0,902人,"23.311717,120.314023"
南新國中,OMA00039,民生里,臺南市新營區民生里4鄰民治路65號,1.0,624人,"23.309519,120.308701"
早安新營大樓,OMA00040,民榮里,臺南市新營區民榮里4鄰復興路301號,1.0,333人,"23.303819,120.301846"
一般住宅,OMA00041,民權里,臺南市新營區民權里15鄰信義街67號,1.0,93人,"23.307471,120.31461"
家樂福有限公司,OMA00042,三仙里,臺南市新營區三仙里18鄰健康路251號,1.0,1767人,"23.319348,120.311803"
黃江春節住宅,OMA00043,民榮里,臺南市新營區民榮里18鄰富強街59號,1.0,160人,"23.301749,120.304841"
民生綠園大樓,OMA00044,民生里,臺南市新營區民生里6鄰民生路52號,1.0,200人,"23.306329,120.309014"
信一骨科,OMA00045,民生里,臺南市新營區民生里11鄰民生路43之26號,1.0,200人,"23.306221,120.307659"
私立育德工業家事職業學校,OMA00046,三仙里,臺南市新營區三仙里18鄰健康路211號,1.0,267人,"23.31626,120.311914"
站前金世界,OMA00047,中營里,臺南市新營區中營里5鄰中山路20號,2.0,937人,"23.306799,120.322063"
弘昌碾米廠,OMA00048,中營里,臺南市新營區中營里2鄰東山路19巷19號,1.0,32人,"23.310715,120.327226"
台糖公司新營廠,OMA00050,興業里,臺南市新營區興業里16鄰中興路31巷4號,1.0,352人,"23.298449,120.31741"
統一企業公司,OMA00051,興業里,臺南市新營區興業里2鄰工業街83號,1.0,467人,"23.29933,120.321811"
樂仁幼稚園,OMA00052,大宏里,臺南市新營區大宏里8鄰民族路8號,1.0,1188人,"23.306674,120.318653"
新營國小,OMA00053,大宏里,臺南市新營區大宏里13鄰中正路4號,1.0,129人,"23.306539,120.31637"
興國中學,OMA00054,新東里,臺南市新營區新東里24鄰大同路86號,1.0,536人,"23.312702,120.322434"
興國中學,OMA00055,新東里,臺南市新營區新東里24鄰大同路86號,1.0,268人,"23.312702,120.322434"
新周建設公司,OMA00056,永平里,臺南市新營區永平里6鄰康樂街45號,1.0,385人,"23.301649,120.314462"
存安蔘藥行,OMA00057,永平里,臺南市新營區永平里7鄰延平路13號,1.0,91人,"23.30208,120.313799"
長壽西藥房,OMA00058,永平里,臺南市新營區永平里5鄰中山路219號,1.0,43人,"23.302859,120.314554"
天棋建設公司,OMA00060,中營里,臺南市新營區中營里6鄰新進路37號,1.0,392人,"23.30566,120.321867"
台灣鹽業倉庫,OMA00061,中營里,臺南市新營區中營里6鄰新進路75號,1.0,96人,"23.30337,120.320651"
流行頻道素食餐廳,OMA00062,大宏里,臺南市新營區大宏里18鄰大同路14之6號,1.0,173人,"23.308121,120.322726"
台南市家畜防治中心,OMA00066,王公里,臺南市新營區王公里11鄰長榮路一段501號,1.0,264人,"23.3197,120.318984"
天理教會,OMA00067,新東里,臺南市新營區新東里13鄰東興六街105號,1.0,191人,"23.31426,120.325523"
吉祥大廈,OMA00069,興業里,臺南市新營區興業里4鄰同濟街3號,1.0,937人,"23.304749,120.32053"
嘉南水利會,OMA00072,興業里,臺南市新營區興業里4鄰中山路113號,1.0,652人,"23.30507,120.318693"
國立新營高工,OMA00073,王公里,臺南市新營區王公里3鄰中正路68號,1.0,164人,"23.313369,120.316801"
國立新營高工,OMA00074,王公里,臺南市新營區王公里3鄰中正路68號,1.0,928人,"23.313369,120.316801"
新都星建設,OMA00075,王公里,臺南市新營區王公里20鄰樂利街135號,1.0,512人,"23.31462,120.320528"
生達製藥,OMA00076,土庫里,臺南市新營區土庫里7鄰開元路154號,1.0,475人,"23.319828,120.336393"
生達製藥,OMA00077,土庫里,臺南市新營區土庫里7鄰開元路154號,1.0,48人,"23.319828,120.336393"
生達製藥,OMA00078,土庫里,臺南市新營區土庫里7鄰開元路154號,1.0,560人,"23.319828,120.336393"
嘉南水利建設,OMA00079,新東里,臺南市新營區新東里9鄰東仁街43巷66號,1.0,199人,"23.31819,120.326916"
新營建設公司,OMA00080,大宏里,臺南市新營區大宏里4鄰綠川北街125號,1.0,456人,"23.30898,120.317932"
新營區公所,OMA00082,大宏里,臺南市新營區大宏里10鄰中正路30號,1.0,360人,"23.310279,120.316562"
新太建設公司,OMA00083,新東里,臺南市新營區新東里2鄰東興三街22巷42之1號,1.0,517人,"23.315836,120.322368"
康樂雅筑公司,OMA00084,永平里,臺南市新營區永平里1鄰康樂街1之6號,1.0,404人,"23.302261,120.316348"
摩登大廈,OMA00086,永平里,臺南市新營區永平里2鄰康樂街16之2號,1.0,581人,"23.302188,120.315303"
本億建設公司,OMA00087,永平里,臺南市新營區永平里4鄰富源街22號,1.0,504人,"23.30279,120.315752"
一般住宅,OMA00088,新南里,臺南市新營區新南里9鄰復興路620巷61弄26號,1.0,839人,"23.307749,120.296142"
我家建設公司,OMA00089,新南里,臺南市新營區新南里24鄰隋唐街295巷27弄22號,1.0,1389人,"23.30741,120.298261"
大樓,OMA00090,新北里,臺南市新營區新北里16鄰新北八街53號,1.0,749人,"23.31388,120.303647"
鎮南殿,OMA00091,新北里,臺南市新營區新北里2鄰民治路160號,1.0,252人,"23.309363,120.306707"
民苑企業社,OMA00092,新北里,臺南市新營區新北里2鄰民治路156巷42之1號,1.0,605人,"23.310037,120.306768"
大新營建設公司,OMA00093,新北里,臺南市新營區新北里20鄰民生路336巷22號,1.0,1207人,"23.31391,120.305691"
一般住宅,OMA00094,新南里,臺南市新營區新南里8鄰明清二街171號,1.0,619人,"23.309194,120.298762"
台南市消防局,OMA00095,護鎮里,臺南市新營區護鎮里2鄰三興街380號,1.0,424人,"23.322995,120.309425"
台聯公司,OMA00097,嘉芳里,臺南市新營區嘉芳里6鄰四維路11號,1.0,69人,"23.307423,120.279803"
榮剛公司,OMA00098,嘉芳里,臺南市新營區嘉芳里6鄰新中路35號,1.0,225人,"23.30168,120.280922"
常琪鋁業,OMA00099,嘉芳里,臺南市新營區嘉芳里6鄰四維路9號,1.0,53人,"23.3072,120.280203"
正和製藥,OMA00100,嘉芳里,臺南市新營區嘉芳里6鄰新工路23號,1.0,279人,"23.30402,120.281882"
仙台藥品,OMA00101,嘉芳里,臺南市新營區嘉芳里6鄰新工路35號,1.0,201人,"23.302289,120.281792"
成浤塑膠,OMA00102,嘉芳里,臺南市新營區嘉芳里6鄰新工路29號,1.0,47人,"23.30318,120.281902"
南梓國小,OMA00103,南紙里,臺南市新營區南紙里22鄰建業路191號,1.0,288人,"23.298355,120.298573"
南梓國小活動中心,OMA00104,南興里,臺南市新營區南興里18鄰建業路165號,1.0,33人,"23.298283,120.299837"
再豐紙業公司,OMA00105,嘉芳里,臺南市新營區嘉芳里6鄰新圳路4號,1.0,119人,"23.30113,120.28419"
新營區太南里公有市場,OMA00106,太南里,臺南市新營區太南里9鄰太子宮239號,1.0,567人,"23.292997,120.276059"
台菱公司,OMA00107,嘉芳里,臺南市新營區嘉芳里6鄰八德路7號,1.0,60人,"23.30328,120.283769"
新永和製皮公司,OMA00108,太北里,臺南市新營區太北里9鄰新太路45號,1.0,645人,"23.30083,120.273602"
亞東農藥公司,OMA00110,嘉芳里,臺南市新營區嘉芳里6鄰新嘉街4巷7號,1.0,103人,"23.308933,120.278232"
台灣銅業公司,OMA00111,嘉芳里,臺南市新營區嘉芳里6鄰新圳路10號,1.0,265人,"23.300098,120.282032"
金鼎紙業公司,OMA00112,嘉芳里,臺南市新營區嘉芳里6鄰八德路14號,1.0,81人,"23.303699,120.284391"
品俊公司,OMA00113,嘉芳里,臺南市新營區嘉芳里6鄰新業街8號,1.0,37人,"23.30422,120.28389"
南亞畜牧,OMA00114,嘉芳里,臺南市新營區嘉芳里6鄰復興路1133號,1.0,23人,"23.31002,120.278396"
鷹星工業,OMA00115,嘉芳里,臺南市新營區嘉芳里6鄰五福路11號,1.0,28人,"23.30534,120.283751"
大榮貨運公司,OMA00116,嘉芳里,臺南市新營區嘉芳里6鄰四維路20號,1.0,1659人,"23.307715,120.279004"
浩斌企業,OMA00117,嘉芳里,臺南市新營區嘉芳里6鄰五福路108號,1.0,48人,"23.305689,120.282503"
雅川實業,OMA00118,嘉芳里,臺南市新營區嘉芳里6鄰四維路7號,1.0,72人,"23.307369,120.280519"
秦榮公司,OMA00119,嘉芳里,臺南市新營區嘉芳里6鄰新芳街14號,1.0,115人,"23.30816,120.282861"
統亞公司,OMA00120,嘉芳里,臺南市新營區嘉芳里6鄰新圳路2號,1.0,61人,"23.30113,120.28419"
新名慶公司,OMA00121,嘉芳里,臺南市新營區嘉芳里6鄰新業街2號,1.0,39人,"23.304904,120.283869"
立宇公司,OMA00122,嘉芳里,臺南市新營區嘉芳里6鄰新工路31號,1.0,36人,"23.30291,120.281872"
正昇公司,OMA00123,嘉芳里,臺南市新營區嘉芳里6鄰忠孝路12號,1.0,287人,"23.30185,120.28249"
高奕順公司,OMA00124,嘉芳里,臺南市新營區嘉芳里6鄰新工路16號,1.0,132人,"23.30645,120.281781"
統義玻璃公司,OMA00125,嘉芳里,臺南市新營區嘉芳里6鄰新工路36號,1.0,1340人,"23.30265,120.281532"
長榮鋼鐵,OMA00126,橋南里,臺南市鹽水區橋南里14鄰八德路66號,1.0,1620人,"23.305458,120.274576"
年冠實業,OMA00127,太北里,臺南市新營區太北里9鄰忠孝路53號,1.0,231人,"23.30204,120.274791"
鳳神大樓,OMA00128,嘉芳里,臺南市新營區嘉芳里2鄰復興路1074巷28號,2.0,303人,"23.311335,120.277801"
鼎雲有限公司,OMA00129,橋南里,臺南市鹽水區橋南里14鄰八德路47號,1.0,260人,"23.303923,120.274133"
仁澤公司,OMA00130,嘉芳里,臺南市新營區嘉芳里6鄰新工路7號,1.0,175人,"23.30842,120.282158"
華業公司,OMA00131,嘉芳里,臺南市新營區嘉芳里6鄰忠孝路7號,1.0,111人,"23.301559,120.283139"
南陽實業,OMA00132,嘉芳里,臺南市新營區嘉芳里6鄰復興路1137號,1.0,449人,"23.310279,120.276926"
中連貨運,OMA00133,嘉芳里,臺南市新營區嘉芳里6鄰四維路24號,1.0,487人,"23.30808,120.277962"
文慶出版社,OMA00134,嘉芳里,臺南市新營區嘉芳里6鄰新工路15號,1.0,251人,"23.30626,120.282201"
同富大理石,OMA00135,嘉芳里,臺南市新營區嘉芳里6鄰四維路3號,1.0,69人,"23.307289,120.280959"
瑞一公司,OMA00136,嘉芳里,臺南市新營區嘉芳里6鄰五福路13號,1.0,144人,"23.30514,120.28303"
年冠機械公司,OMA00137,嘉芳里,臺南市新營區嘉芳里6鄰新芳街16號,1.0,17人,"23.30865,120.28276"
丙安科技公司,OMA00138,嘉芳里,臺南市新營區嘉芳里6鄰新嘉街6號,1.0,28人,"23.30861,120.279338"
長榮重工,OMA00139,嘉芳里,臺南市新營區嘉芳里2鄰復興路1062號,1.0,869人,"23.310343,120.278508"
偉得電子公司,OMA00140,嘉芳里,臺南市新營區嘉芳里6鄰新嘉街1號,1.0,19人,"23.309173,120.27964"
領先汽車公司,OMA00141,嘉芳里,臺南市新營區嘉芳里6鄰復興路1129之1號,1.0,36人,"23.310008,120.278875"
聲揚公司,OMA00142,嘉芳里,臺南市新營區嘉芳里6鄰五福路106號,1.0,645人,"23.30566,120.282732"
國璋公司,OMA00143,嘉芳里,臺南市新營區嘉芳里6鄰新工路5號,1.0,35人,"23.30884,120.281899"
新東益公司,OMA00144,嘉芳里,臺南市新營區嘉芳里6鄰新嘉街3號,1.0,59人,"23.308599,120.27963"
一般住宅,OMA00145,嘉芳里,臺南市新營區嘉芳里10鄰復興路863號,1.0,48人,"23.30865,120.285714"
美東菱公司,OMA00146,太北里,臺南市新營區太北里9鄰新太路41號,1.0,251人,"23.30151,120.273512"
聯華氣體,OMA00147,嘉芳里,臺南市新營區嘉芳里6鄰新嘉街6號,1.0,28人,"23.30861,120.279338"
花蓮汽車公司,OMA00148,嘉芳里,臺南市新營區嘉芳里6鄰新工路5號,1.0,35人,"23.30884,120.281899"
春園大樓,OMA00149,南紙里,臺南市新營區南紙里16鄰南紙街117巷16號,1.0,343人,"23.29811,120.294691"
