類別,電腦編號,村里別,地址,地下樓層數,可容納人數,備註
公寓,TQA0001,蘇北里,宜蘭縣蘇澳鎮中原路200號,1.0,129.0,
公寓,TQA0002,蘇東里,宜蘭縣蘇澳鎮蘇東路6號,1.0,1616.0,
公寓,TQA0003,蘇東里,宜蘭縣蘇澳鎮蘇東北路2號之67,1.0,29.0,
公寓,TQA0004,蘇東里,宜蘭縣蘇澳鎮蘇東北路2號之68,1.0,30.0,
公寓,TQA0005,蘇東里,宜蘭縣蘇澳鎮蘇東北路2號之69,1.0,25.0,
公寓,TQA0006,蘇東里,宜蘭縣蘇澳鎮蘇東北路2號之70,1.0,25.0,
公寓,TQA0007,蘇東里,宜蘭縣蘇澳鎮蘇東北路2號之71,1.0,25.0,
公寓,TQA0008,蘇東里,宜蘭縣蘇澳鎮蘇東北路2號之72,1.0,43.0,
公寓,TQA0009,蘇東里,宜蘭縣蘇澳鎮蘇東北路2號之76,1.0,33.0,
大樓,TQA0010,蘇東里,宜蘭縣蘇澳鎮蘇東中路10號,1.0,26.0,
公寓,TQA0011,蘇東里,宜蘭縣蘇澳鎮蘇東北路2號之63,1.0,26.0,
公寓,TQA0012,蘇東里,宜蘭縣蘇澳鎮蘇東北路2號之64,1.0,26.0,
公寓,TQA0013,蘇東里,宜蘭縣蘇澳鎮蘇東北路2號之65,1.0,37.0,
公寓,TQA0014,蘇東里,宜蘭縣蘇澳鎮蘇東北路2號之66,1.0,35.0,
公寓,TQA0015,長安里,宜蘭縣蘇澳鎮成功路6號,1.0,37.0,
公寓,TQA0016,長安里,宜蘭縣蘇澳鎮成功路53號,1.0,408.0,
工廠,TQA0017,長安里,宜蘭縣蘇澳鎮永昌路46號,1.0,780.0,
工廠,TQA0018,長安里,宜蘭縣蘇澳鎮永昌路46號,1.0,212.0,
銀行,TQA0019,蘇北里,宜蘭縣蘇澳鎮太平路17號,1.0,175.0,
公賣局,TQA0020,蘇西里,宜蘭縣蘇澳鎮蘇南路199號,1.0,59.0,
公寓,TQA0021,蘇西里,宜蘭縣蘇澳鎮華中街5號,1.0,797.0,
大樓,TQA0022,蘇西里,宜蘭縣蘇澳鎮蘇港路195號,1.0,54.0,
公寓,TQA0023,蘇西里,宜蘭縣蘇澳鎮蘇西里華中街15號,1.0,183.0,
公家機關,TQA0024,蘇西里,宜蘭縣蘇澳鎮中山路一段252號,1.0,311.0,
銀行,TQA0025,蘇北里,宜蘭縣蘇澳鎮中山路一段96號之1,1.0,83.0,
公寓,TQA0026,蘇北里,宜蘭縣蘇澳鎮冷泉路30號,1.0,165.0,
公寓,TQA0027,蘇西里,宜蘭縣蘇澳鎮志成路15巷15號,1.0,80.0,
工廠,TQA0028,龍德里,宜蘭縣蘇澳鎮德興一路7號,1.0,266.0,
工廠,TQA0029,龍德里,宜蘭縣蘇澳鎮德興一路23號,1.0,127.0,
工廠,TQA0030,龍德里,宜蘭縣蘇澳鎮德興一路29號,1.0,130.0,
工廠,TQA0031,龍德里,宜蘭縣蘇澳鎮德興一路041號,1.0,33.0,
工廠,TQA0033,龍德里,宜蘭縣蘇澳鎮德興六路2號,1.0,95.0,
工廠,TQA0034,龍德里,宜蘭縣蘇澳鎮德興六路8號,1.0,114.0,
工廠,TQA0036,龍德里,宜蘭縣蘇澳鎮德興七路6號,1.0,123.0,
工廠,TQA0037,龍德里,宜蘭縣蘇澳鎮德興六路11號,1.0,38.0,
工廠,TQA0038,龍德里,宜蘭縣蘇澳鎮自強路11號,1.0,72.0,
工廠,TQA0039,龍德里,宜蘭縣蘇澳鎮自強路17號,1.0,50.0,
工廠,TQA0040,龍德里,宜蘭縣蘇澳鎮自強路19號,1.0,199.0,
學校,TQA0041,龍德里,宜蘭縣蘇澳鎮自強路23號,1.0,262.0,
工廠,TQA0042,永榮里,宜蘭縣蘇澳鎮大同路108號,1.0,592.0,
工廠,TQA0043,隘丁里,宜蘭縣蘇澳鎮仁愛路14號,1.0,105.0,
學校,TQA0044,永榮里,宜蘭縣蘇澳鎮新馬路2號,1.0,167.0,
工廠,TQA0045,龍德里,宜蘭縣蘇澳鎮福德路244號,1.0,310.0,
學校,TQA0046,龍德里,宜蘭縣蘇澳鎮福德路134號,1.0,80.0,
工廠,TQA0047,龍德里,宜蘭縣蘇澳鎮德興七路14號,1.0,105.0,
工廠,TQA0048,龍德里,宜蘭縣蘇澳鎮德興一路45號,1.0,128.0,
工廠,TQA0049,龍德里,宜蘭縣蘇澳鎮德興一路17號,1.0,291.0,
